UF,almoco_lanche,leguminosas_verdura,carnes,bebida_artificial,bebida_natural,frutas,leite,doces_industrializados
RO,4.668032588126667,4.011357721691143,4.580727184176358,3.7495356744028925,2.641074980939766,2.260205243246766,3.6341833924804585,3.6743605874841663
AC,4.509649718493281,2.2886638161158643,2.4812557367206836,2.35228216030662,2.406672769507849,1.3889994271911459,3.019085634501475,3.7114952552415756
AM,3.650834276231718,1.0,1.0,2.7676050863329666,2.44893829861416,2.190446768404752,4.670741244057317,4.169317521741733
RR,4.818379779965604,2.1634583375121395,4.1683614338919215,3.0996252962861717,2.0578765614695094,1.0,3.2091974140144286,3.9925058585816
PA,4.065898160157876,1.7562838719382206,4.411205818514371,4.110768768942562,2.683275008583545,2.398261790329357,1.0,3.8511742358545233
AP,4.181963646833771,1.5943688721356848,2.2904199347649703,1.9123373193595476,2.484996647393246,2.3128613223455825,2.288051952382145,3.163716866239283
TO,3.7814423113397657,3.3994226675213217,3.5975787861607182,2.9893192385419844,2.249248605878131,3.1483650316380802,4.742822552094462,3.3340202912629895
MA,4.612650962341789,1.5323183334631152,4.536769223830537,4.743436488707176,1.7114507930340264,2.1637904057010657,4.865290245191472,5.0
PI,5.0,2.823830731366532,2.2773165244847373,4.565630447113661,2.4289956700883817,2.652797784758595,3.324577457198096,4.432785227946196
CE,3.8342115809389017,2.848291390476774,1.008800375055479,3.732596167551979,3.0778428852659045,3.1288138900766187,4.220706628976463,2.385024477999336
RN,4.716452188434034,3.6857761505181585,4.157929869280332,4.911598228507203,5.0,4.253497272491245,4.029420554779772,3.527552025890894
PB,3.9904668602143705,3.719895516878672,4.846394020281975,4.116350986242833,3.718749238217257,4.107731079752476,2.2849506791027605,2.5643752044091066
PE,3.429717757577123,3.5469899347155374,4.9036944523421475,3.5286817865577627,3.6682489687271804,3.3307084963159546,1.3804512681527106,2.4015076255046286
AL,3.497520789891068,3.512217031551089,3.9982823243534362,3.6450900972352818,3.4986946155650136,3.0894129742805156,1.8012343602417666,3.384271464157347
SE,4.485920202270508,3.8633928193019025,2.0248848349095807,4.359152450596605,3.7659083165422547,3.8416022238764707,3.0846579735121966,3.3522791304101407
BA,4.087664771928115,3.3382845322034296,4.0090026071743905,5.0,3.7271877851768913,3.0973617992999514,3.3551433351153612,3.38678896559653
MG,2.767584504905743,5.0,1.4168461676861712,2.3597167672644335,1.7743400379424075,3.6796532070583634,4.4204599601431145,1.5858427968052733
ES,3.529754301239315,4.485014179911626,2.8871451257742162,3.923734668441038,2.3674559637802304,3.269711184944654,4.066826419538654,2.2730781298350715
RJ,1.1360746087405689,3.990036078487355,3.7097543543005465,2.0849719054105305,1.5155527609411161,3.539478545510367,4.799006317272451,1.5746574297944673
SP,1.0,3.72715292880489,2.1384536122564604,1.3292022224079298,1.5837647933659476,4.228578486422965,3.3969227007932448,1.0
PR,2.169851507220825,3.934330314728588,3.1174031752493585,1.0,1.1072971458569285,3.7232189012389467,3.265418190586363,1.593594996112357
SC,1.7596960017845502,2.736444317151105,3.0766176258575935,2.8081497532144644,1.3971570302720955,5.0,1.9380166704680972,2.0543484725768772
RS,1.3987046331385349,3.223222423988255,3.1012818683646337,1.6930330433199954,1.0,4.778736239908408,4.960731156225819,1.2120808120205013
MS,4.1583417983675925,3.8724016746931276,4.204361453944072,1.206888416800838,1.3295939000181063,2.5291847239975516,2.410527056028282,2.150429743638192
MT,4.135650519561262,4.032363907185305,1.3177145303551763,1.9237455404794632,2.1696426788837577,2.459861089689799,3.2785478541327118,2.8846219617302804
GO,3.053161943526847,4.536398511523132,2.179611516725002,1.4169646376431477,1.7374515267351098,2.937416705086072,3.8939842139110166,2.5492393019576514
DF,2.560862244190178,4.126814738548721,4.125616542738015,3.0046277438893423,2.852285499955489,4.9203717958702935,3.5923012426762657,2.515300113066779
